"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45995425717,8009;1;1;3;380100;;;;;;;;;"04/12/2025 10:13:02";"Assign a password for the Sm@rtServer in the WinCC Internet Settings applet, because the connection cannot be established otherwise.";
45995425719,0046;1;1;3;110001;;;;;;;;;"04/12/2025 10:13:02";"Change to operating mode 'online'.";
45995425746,5741;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"04/12/2025 10:13:05";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
45995430909,8032;1;1;3;380100;;;;;;;;;"04/12/2025 10:20:31";"Assign a password for the Sm@rtServer in the WinCC Internet Settings applet, because the connection cannot be established otherwise.";
45995430911,9329;1;1;3;110001;;;;;;;;;"04/12/2025 10:20:31";"Change to operating mode 'online'.";
45995430938,6806;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"04/12/2025 10:20:33";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
45995680118,2523;2;1;1;57;;;;;;;;;"04/12/2025 16:19:22";"Shower damper evaporators";"HMI_Connection_1"
45995680118,2523;2;1;1;58;;;;;;;;;"04/12/2025 16:19:22";"Tape and fan spray damper";"HMI_Connection_1"
45995680164,5486;2;0;1;57;;;;;;;;;"04/12/2025 16:19:26";"Shower damper evaporators";"HMI_Connection_1"
45995680164,5486;2;0;1;58;;;;;;;;;"04/12/2025 16:19:26";"Tape and fan spray damper";"HMI_Connection_1"
45995800570,2315;2;1;1;26;;;;;;;;;"04/12/2025 19:12:49";"Pulsator position sensor failure";"HMI_Connection_1"
45995800651,2384;2;0;1;26;;;;;;;;;"04/12/2025 19:12:56";"Pulsator position sensor failure";"HMI_Connection_1"
45995801226,3657;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"04/12/2025 19:13:46";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
45997287585,3472;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"06/12/2025 06:54:07";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
45997284744,7038;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"06/12/2025 06:50:02";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
45997284880,9036;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"06/12/2025 06:50:14";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
41632259983,3912;1;1;3;110001;;;;;;;;;"24/12/2013 06:14:23";"Change to operating mode 'online'.";
41632259989,8727;1;1;3;380100;;;;;;;;;"24/12/2013 06:14:23";"Assign a password for the Sm@rtServer in the WinCC Internet Settings applet, because the connection cannot be established otherwise.";
41632260095,1968;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"24/12/2013 06:14:32";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
45998354739,0856;1;1;3;380100;;;;;;;;;"07/12/2025 08:30:49";"Assign a password for the Sm@rtServer in the WinCC Internet Settings applet, because the connection cannot be established otherwise.";
45998354741,1227;1;1;3;110001;;;;;;;;;"07/12/2025 08:30:50";"Change to operating mode 'online'.";
45998354870;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"07/12/2025 08:31:01";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
45999293788,4259;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"08/12/2025 07:03:03";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
45999290895,137;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"08/12/2025 06:58:53";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
45999291042,2617;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"08/12/2025 06:59:06";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
45999678697,7431;2;1;1;79;;;;;;;;;"08/12/2025 16:17:19";"Damaged water pressure sensor in the network";"HMI_Connection_1"
45999680746,3657;2;0;1;79;;;;;;;;;"08/12/2025 16:20:16";"Damaged water pressure sensor in the network";"HMI_Connection_1"
45999682599,3634;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"08/12/2025 16:22:57";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46000271690,3009;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"09/12/2025 06:31:14";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46000268795,7652;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"09/12/2025 06:27:04";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46000268938,5377;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"09/12/2025 06:27:16";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46000381540,3819;2;1;1;63;;;;;;;;;"09/12/2025 09:09:25";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000381864,4444;2;0;1;63;;;;;;;;;"09/12/2025 09:09:53";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000387732,5347;2;1;1;63;;;;;;;;;"09/12/2025 09:18:20";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000390926,9907;2;0;1;63;;;;;;;;;"09/12/2025 09:22:56";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000417593,7963;2;1;1;63;;;;;;;;;"09/12/2025 10:01:20";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000417651,6667;2;0;1;63;;;;;;;;;"09/12/2025 10:01:25";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000473844,0741;2;1;1;63;;;;;;;;;"09/12/2025 11:22:20";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000479631,1227;2;0;1;63;;;;;;;;;"09/12/2025 11:30:40";"Low water pressure in the network - alarm";"HMI_Connection_1"
46000659448,3681;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"09/12/2025 15:49:36";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46000883743,0903;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"09/12/2025 21:12:35";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46000880844,3407;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"09/12/2025 21:08:25";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46000880981,2596;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"09/12/2025 21:08:37";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46000941265,0116;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"09/12/2025 22:35:25";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46001279660,5671;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"10/12/2025 06:42:43";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46001276750,7131;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"10/12/2025 06:38:31";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46001276891,0504;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"10/12/2025 06:38:43";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46001473596,7014;2;1;1;63;;;;;;;;;"10/12/2025 11:21:59";"Low water pressure in the network - alarm";"HMI_Connection_1"
46001473897,6273;2;0;1;63;;;;;;;;;"10/12/2025 11:22:25";"Low water pressure in the network - alarm";"HMI_Connection_1"
46001641560,4861;2;1;1;26;;;;;;;;;"10/12/2025 15:23:51";"Pulsator position sensor failure";"HMI_Connection_1"
46001641560,4861;2;1;1;96;;;;;;;;;"10/12/2025 15:23:51";"Failure of pulsator position sensor under belt 2";"HMI_Connection_1"
46001641884,5718;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"10/12/2025 15:24:19";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46001886439,4444;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"10/12/2025 21:16:28";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46001886439,5602;2;0;1;26;;;;;;;;;"10/12/2025 21:16:28";"Pulsator position sensor failure";"HMI_Connection_1"
46001886439,5602;2;0;1;96;;;;;;;;;"10/12/2025 21:16:28";"Failure of pulsator position sensor under belt 2";"HMI_Connection_1"
46001883532,1809;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"10/12/2025 21:12:17";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46001883679,9173;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"10/12/2025 21:12:30";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46001990328,8426;2;1;1;34;;;;;;;;;"10/12/2025 23:46:04";"Tunnel temperature too high (>55C)";"HMI_Connection_1"
46001994889,0394;2;0;1;34;;;;;;;;;"10/12/2025 23:52:38";"Tunnel temperature too high (>55C)";"HMI_Connection_1"
46001994958,4954;2;1;1;68;;;;;;;;;"10/12/2025 23:52:44";"Contactor failure";"HMI_Connection_1"
46001995286,5972;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"10/12/2025 23:53:13";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46002299266,1574;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"11/12/2025 07:10:57";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46002299266,2731;2;0;1;68;;;;;;;;;"11/12/2025 07:10:57";"Contactor failure";"HMI_Connection_1"
