VarName;TimeString;VarValue;Validity;Time_ms	
Freezing time;"09/03/2026 22:43:46";9;1;46090947055	579
Freezing time;"09/03/2026 22:43:47";12;1;46090947066	632
Freezing time;"09/03/2026 22:43:48";15;1;46090947078	1944
Freezing time;"09/03/2026 22:43:49";18;1;46090947089	7685
Freezing time;"09/03/2026 22:43:50";21;1;46090947101	3542
Freezing time;"09/03/2026 22:43:51";22;1;46090947112	9398
Layer;"09/03/2026 22:43:52";2;1;46090947124	5023
Layer;"09/03/2026 22:43:53";3;1;46090947136	88
Layer;"09/03/2026 22:43:54";2;1;46090947147	6505
Layer;"09/03/2026 22:43:55";1;1;46090947159	2245
air temperature in tunnel;"09/03/2026 22:46:13";-294;1;46090948758	8079
Temperature of evap.;"09/03/2026 22:46:13";-338;1;46090948758	8079
air temperature in tunnel;"09/03/2026 22:51:13";-297;1;46090952231	2269
Temperature of evap.;"09/03/2026 22:51:13";-346;1;46090952231	2269
air temperature in tunnel;"09/03/2026 22:56:13";-304;1;46090955702	4884
Temperature of evap.;"09/03/2026 22:56:13";-362;1;46090955702	4884
air temperature in tunnel;"09/03/2026 23:01:13";-300;1;46090959174	9074
Temperature of evap.;"09/03/2026 23:01:13";-363;1;46090959174	9074
Layer;"09/03/2026 23:01:55";6;1;46090959659	2824
Layer;"09/03/2026 23:01:56";7;1;46090959670	8681
air temperature in tunnel;"09/03/2026 23:06:13";-296;1;46090962647	3264
Temperature of evap.;"09/03/2026 23:06:13";-374;1;46090962647	3264
Freezing time;"09/03/2026 23:09:56";23;1;46090965226	4352
air temperature in tunnel;"09/03/2026 23:11:13";-292;1;46090966119	7454
Temperature of evap.;"09/03/2026 23:11:13";-380;1;46090966119	7454
Freezing time;"09/03/2026 23:13:31";22;1;46090967714	8727
air temperature in tunnel;"09/03/2026 23:16:13";-296;1;46090969592	1759
Temperature of evap.;"09/03/2026 23:16:13";-382;1;46090969592	1759
Freezing time;"09/03/2026 23:18:44";21;1;46090971337	581
air temperature in tunnel;"09/03/2026 23:21:13";-284;1;46090973064	5949
Temperature of evap.;"09/03/2026 23:21:13";-376;1;46090973064	5949
air temperature in tunnel;"09/03/2026 23:26:13";-268;1;46090976535	8565
Temperature of evap.;"09/03/2026 23:26:13";-378;1;46090976535	8565
air temperature in tunnel;"09/03/2026 23:31:13";-245;1;46090980008	2755
Temperature of evap.;"09/03/2026 23:31:13";-390;1;46090980008	2755
air temperature in tunnel;"09/03/2026 23:36:13";-248;1;46090983480	6944
Temperature of evap.;"09/03/2026 23:36:13";-387;1;46090983480	6944
air temperature in tunnel;"09/03/2026 23:41:13";-255;1;46090986953	1134
Temperature of evap.;"09/03/2026 23:41:13";-391;1;46090986953	1134
air temperature in tunnel;"09/03/2026 23:46:13";-247;1;46090990425	544
Temperature of evap.;"09/03/2026 23:46:13";-386;1;46090990425	544
air temperature in tunnel;"09/03/2026 23:51:13";-258;1;46090993897	963
Temperature of evap.;"09/03/2026 23:51:13";-390;1;46090993897	963
air temperature in tunnel;"09/03/2026 23:56:13";-251;1;46090997369	2245
Temperature of evap.;"09/03/2026 23:56:13";-382;1;46090997369	2245
air temperature in tunnel;"10/03/2026 00:01:13";-242;1;46091000841	6435
Temperature of evap.;"10/03/2026 00:01:13";-384;1;46091000841	6435
air temperature in tunnel;"10/03/2026 00:06:13";-233;1;46091004314	625
Temperature of evap.;"10/03/2026 00:06:13";-378;1;46091004314	625
air temperature in tunnel;"10/03/2026 00:11:13";-229;1;46091007786	4815
Temperature of evap.;"10/03/2026 00:11:13";-384;1;46091007786	4815
air temperature in tunnel;"10/03/2026 00:16:13";-242;1;46091011258	912
Temperature of evap.;"10/03/2026 00:16:13";-377;1;46091011258	912
air temperature in tunnel;"10/03/2026 00:21:13";-236;1;46091014731	331
Temperature of evap.;"10/03/2026 00:21:13";-376;1;46091014731	331
air temperature in tunnel;"10/03/2026 00:26:13";-208;1;46091018202	5926
Temperature of evap.;"10/03/2026 00:26:13";-375;1;46091018202	5926
Freezing time;"10/03/2026 00:27:23";22;1;46091019011	4236
air temperature in tunnel;"10/03/2026 00:31:13";-207;1;46091021675	116
Temperature of evap.;"10/03/2026 00:31:13";-373;1;46091021675	116
air temperature in tunnel;"10/03/2026 00:36:13";-217;1;46091025147	4306
Temperature of evap.;"10/03/2026 00:36:13";-372;1;46091025147	4306
